file	origin	licence	redistributable	category	kind	verdict	pieces	distinct_prefabs	footprint	top_tier	missing_pct	portals	stations	ih_discarded_rows	creator	role	fit
hs_ashlands_armchair_sidetable_brigames.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	23	8	1.1x2.5x1.2	ashlands	0.0	0	0	12	Bri Games	23 pieces, 8 prefabs, 1.1x2.5x1.2 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_astrid_sinjesdo_viking_dumpling_paradise.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	setpiece	PLACES_CLEAN	6164	172	86.6x75.4x21.7	ashlands	0.0	1	32	284	Astrid Sinjesdo	6164 pieces, 172 prefabs, 86.6x75.4x21.7 m, 32 stations, 0 beds, 1 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_babe_cozinha_completa.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	module	PLACES_CLEAN	456	49	15.4x15.9x9.0	plains	0.0	0	14	32	Babe	456 pieces, 49 prefabs, 15.4x15.9x9.0 m, 14 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: plains. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_badmin_archer.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	1184	12	14.6x6.0x21.0	ashlands	0.0	0	0	22	BaDmIn	1184 pieces, 12 prefabs, 14.6x6.0x21.0 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_badmin_cake_of_valhalla.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	1898	11	9.4x9.7x23.2	ashlands	0.0	0	0	21	BaDmIn	1898 pieces, 11 prefabs, 9.4x9.7x23.2 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_badmin_eaglebird.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	576	17	14.4x13.6x13.1	ashlands	0.0	0	0	32	BaDmIn	576 pieces, 17 prefabs, 14.4x13.6x13.1 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_badmin_fallen_angel.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	3221	16	15.4x26.2x32.8	ashlands	0.0	0	0	44	BaDmIn	3221 pieces, 16 prefabs, 15.4x26.2x32.8 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_badmin_freyja.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	2136	20	20.7x13.5x29.2	ashlands	0.0	0	0	38	BaDmIn	2136 pieces, 20 prefabs, 20.7x13.5x29.2 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_badmin_lox.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	1550	13	26.2x23.3x28.7	ashlands	0.0	0	0	54	BaDmIn	1550 pieces, 13 prefabs, 26.2x23.3x28.7 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_badmin_valkyriecorrected.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	3079	15	29.5x37.1x38.1	ashlands	0.0	0	0	78	BaDmIn	3079 pieces, 15 prefabs, 29.5x37.1x38.1 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_bakedgoodsstall.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	159	35	6.1x6.2x4.8	ashlands	0.0	0	0	21	Bri Games	159 pieces, 35 prefabs, 6.1x6.2x4.8 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_barstool_brigames.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	4	3	0.6x0.5x1.1	ashlands	0.0	0	0	12	Bri Games	4 pieces, 3 prefabs, 0.6x0.5x1.1 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_belltower.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	1381	37	10.7x10.2x22.0	ashlands	0.0	0	0	25	Bri Games	1381 pieces, 37 prefabs, 10.7x10.2x22.0 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_blueprints_mint_s_ash_tower.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	1538	114	24.4x25.6x31.0	ashlands	0.0	0	31	60	Blueprints	1538 pieces, 114 prefabs, 24.4x25.6x31.0 m, 31 stations, 1 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_boggyexp_lavitating_portalhub.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	setpiece	PLACES_CLEAN	3564	33	34.7x38.6x21.8	ashlands	0.0	7	0	88	BoggyExp	3564 pieces, 33 prefabs, 34.7x38.6x21.8 m, 0 stations, 0 beds, 7 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_bridge_2.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	359	16	44.1x22.7x6.2	ashlands	0.0	0	0	75	BerserkTBuilDeR	359 pieces, 16 prefabs, 44.1x22.7x6.2 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_builder_babe_portal_hub.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	setpiece	PLACES_CLEAN	905	10	30.3x29.3x8.0	mistlands	0.0	11	0	70	Builder Babe	905 pieces, 10 prefabs, 30.3x29.3x8.0 m, 0 stations, 0 beds, 11 portals	source biome tag: ashlands; material tier: mistlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_bullseyestall.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	115	30	4.8x5.3x4.8	ashlands	0.0	0	0	16	Bri Games	115 pieces, 30 prefabs, 4.8x5.3x4.8 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_castle_blackmarble.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	8036	99	56.6x78.0x30.2	ashlands	0.0	0	8	217	Ivor The Smol	8036 pieces, 99 prefabs, 56.6x78.0x30.2 m, 8 stations, 2 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_checkered_castle_with_lamps.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	setpiece	PLACES_CLEAN	5795	174	61.7x76.6x29.9	ashlands	0.0	15	38	222	Talathar	5795 pieces, 174 prefabs, 61.7x76.6x29.9 m, 38 stations, 2 beds, 15 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_chessboard.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	337	6	18.0x15.7x1.9	ashlands	0.0	0	0	34	IsE Dawsded	337 pieces, 6 prefabs, 18.0x15.7x1.9 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_church_of_restless.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	2213	65	35.7x29.7x43.1	ashlands	0.0	1	0	72	Ivor The Smol	2213 pieces, 65 prefabs, 35.7x29.7x43.1 m, 0 stations, 0 beds, 1 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_cm_thug_floating_base.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	1837	25	19.0x34.0x15.0	ashlands	0.0	0	0	61	Cm Thug	1837 pieces, 25 prefabs, 19.0x34.0x15.0 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_cm_thug_outpost.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	1649	105	37.0x38.6x11.3	ashlands	0.0	0	49	96	Cm Thug	1649 pieces, 105 prefabs, 37.0x38.6x11.3 m, 49 stations, 1 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_compact_endgame_base1.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	module	PLACES_CLEAN	537	94	20.9x23.7x11.7	ashlands	0.0	0	43	47	Monkey	537 pieces, 94 prefabs, 20.9x23.7x11.7 m, 43 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_constructor_casa_principal.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	2825	155	21.0x22.5x30.0	ashlands	0.0	2	38	47	Constructor	2825 pieces, 155 prefabs, 21.0x22.5x30.0 m, 38 stations, 1 beds, 2 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_cornercouchashlands_brigames.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	82	10	5.2x5.3x2.3	ashlands	0.0	0	0	16	Bri Games	82 pieces, 10 prefabs, 5.2x5.3x2.3 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_cozycabin.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	setpiece	PLACES_CLEAN	2797	108	30.4x19.1x14.0	ashlands	0.0	0	19	59	Olivanderr	2797 pieces, 108 prefabs, 30.4x19.1x14.0 m, 19 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_crookedhouse_brigamesau.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	3023	117	24.7x38.4x30.1	ashlands	0.0	2	52	76	Bri Games	3023 pieces, 117 prefabs, 24.7x38.4x30.1 m, 52 stations, 7 beds, 2 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_cts_wolfrunlodge.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	setpiece	PLACES_CLEAN	4926	105	39.3x36.0x19.6	ashlands	0.0	0	19	88	Cooties	4926 pieces, 105 prefabs, 39.3x36.0x19.6 m, 19 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_customspiralstairsgrausten_brigames.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	257	11	8.6x8.2x15.0	ashlands	0.0	0	0	21	Bri Games	257 pieces, 11 prefabs, 8.6x8.2x15.0 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_dana_libraryfinal.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	setpiece	PLACES_CLEAN	3829	91	42.0x28.2x30.5	ashlands	0.0	5	13	86	Dana	3829 pieces, 91 prefabs, 42.0x28.2x30.5 m, 13 stations, 0 beds, 5 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_dana_towersdestiny.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	setpiece	PLACES_CLEAN	13491	155	77.9x90.0x63.3	ashlands	0.0	11	42	288	Dana	13491 pieces, 155 prefabs, 77.9x90.0x63.3 m, 42 stations, 15 beds, 11 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_daybed_brigames.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	19	7	3.7x3.1x2.2	ashlands	0.0	0	0	12	Bri Games	19 pieces, 7 prefabs, 3.7x3.1x2.2 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_deardly_deardly_modern_house.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	1672	118	34.0x23.0x12.0	ashlands	0.0	0	36	61	Deardly	1672 pieces, 118 prefabs, 34.0x23.0x12.0 m, 36 stations, 1 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_euphyschurch.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	887	45	27.2x27.2x25.0	ashlands	0.0	0	0	60	Testiphy	887 pieces, 45 prefabs, 27.2x27.2x25.0 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_eventyr.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	2695	36	47.8x36.0x20.6	ashlands	0.0	2	0	99	叶奈法	2695 pieces, 36 prefabs, 47.8x36.0x20.6 m, 0 stations, 0 beds, 2 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_feuersbrunst_henk.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	setpiece	PLACES_CLEAN	1221	43	42.8x40.4x12.8	ashlands	0.0	4	0	108	Henk Vakker	1221 pieces, 43 prefabs, 42.8x40.4x12.8 m, 0 stations, 0 beds, 4 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_fireplace_brigames.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	122	20	4.6x5.3x8.7	ashlands	0.0	0	0	16	Bri Games	122 pieces, 20 prefabs, 4.6x5.3x8.7 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_flam_travel_cabin_1.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	module	PLACES_CLEAN	146	32	8.8x9.5x7.2	ashlands	0.0	0	1	21	Atticus	146 pieces, 32 prefabs, 8.8x9.5x7.2 m, 1 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_freelift_abcabin2.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	786	77	21.6x20.0x9.5	ashlands	0.0	0	5	45	Freelift	786 pieces, 77 prefabs, 21.6x20.0x9.5 m, 5 stations, 3 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_gazebograusten_brigames.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	82	9	5.8x4.8x6.5	ashlands	0.0	0	0	16	Bri Games	82 pieces, 9 prefabs, 5.8x4.8x6.5 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_giant_cake_on_stand.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	2016	17	24.2x24.1x37.4	ashlands	0.0	0	0	60	Ivor The Smol	2016 pieces, 17 prefabs, 24.2x24.1x37.4 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_giantchristmastreeonly.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	442	9	7.1x7.1x7.1	ashlands	0.0	0	0	21	Bri Games	442 pieces, 9 prefabs, 7.1x7.1x7.1 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_giantsnowflakeonly.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	230	6	16.6x16.7x14.1	ashlands	0.0	0	0	36	Bri Games	230 pieces, 6 prefabs, 16.6x16.7x14.1 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_gorthein_fancy_house_redux.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	1962	136	36.0x28.0x15.0	ashlands	0.0	2	33	70	Gorthein	1962 pieces, 136 prefabs, 36.0x28.0x15.0 m, 33 stations, 1 beds, 2 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_harbor.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	4381	46	77.4x64.6x16.5	ashlands	0.0	0	0	224	Thysicus	4381 pieces, 46 prefabs, 77.4x64.6x16.5 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_henhousevanilla_brigames.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	62	15	4.7x5.9x3.6	ashlands	0.0	0	0	16	Bri Games	62 pieces, 15 prefabs, 4.7x5.9x3.6 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_house.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	setpiece	PLACES_CLEAN	2966	102	23.9x36.7x17.0	ashlands	0.0	0	10	68	Thysicus	2966 pieces, 102 prefabs, 23.9x36.7x17.0 m, 10 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_l_le_de_bronze.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	setpiece	PLACES_CLEAN	1978	90	59.5x49.5x24.0	plains	0.0	7	40	154	LoKi	1978 pieces, 90 prefabs, 59.5x49.5x24.0 m, 40 stations, 4 beds, 7 portals	source biome tag: ashlands; material tier: plains. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_lacko_almightyhammer.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	1794	33	44.9x44.0x16.4	ashlands	0.0	0	0	117	Lacko-	1794 pieces, 33 prefabs, 44.9x44.0x16.4 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_lacko_paintedversion1.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	1203	12	15.1x23.4x13.0	ashlands	0.0	0	0	40	Lacko-	1203 pieces, 12 prefabs, 15.1x23.4x13.0 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_lacko_pianodecoration_madebylacko.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	94	8	3.4x4.6x2.4	ashlands	0.0	0	0	14	Lacko-	94 pieces, 8 prefabs, 3.4x4.6x2.4 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_lady_silvergrey_midnighttavern.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	6797	202	52.1x32.0x18.2	ashlands	0.0	0	36	106	Lady Silvergrey	6797 pieces, 202 prefabs, 52.1x32.0x18.2 m, 36 stations, 4 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_lady_silvergrey_oceanflame.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	setpiece	PLACES_CLEAN	6291	46	51.5x48.3x102.9	ashlands	0.0	46	0	140	Lady Silvergrey	6291 pieces, 46 prefabs, 51.5x48.3x102.9 m, 0 stations, 0 beds, 46 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_lavaforge.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	setpiece	PLACES_CLEAN	4398	91	56.0x23.8x28.6	ashlands	0.0	0	26	89	Olivanderr	4398 pieces, 91 prefabs, 56.0x23.8x28.6 m, 26 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_lionsprideinn2.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	7830	136	53.0x28.3x20.1	ashlands	0.0	0	11	96	Balin	7830 pieces, 136 prefabs, 53.0x28.3x20.1 m, 11 stations, 3 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_lotusandlily.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	setpiece	PLACES_CLEAN	2390	5	40.7x40.8x21.4	ashlands	0.0	0	0	100	Ivor The Smol	2390 pieces, 5 prefabs, 40.7x40.8x21.4 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_madzobuild_ashlandcamp.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	module	PLACES_CLEAN	266	47	17.0x17.0x7.0	ashlands	0.0	1	4	36	Madzobuild	266 pieces, 47 prefabs, 17.0x17.0x7.0 m, 4 stations, 1 beds, 1 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_madzobuild_coffeetable.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	4	2	0.6x0.8x0.5	ashlands	0.0	0	0	12	Madzobuild	4 pieces, 2 prefabs, 0.6x0.8x0.5 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_madzobuild_couch1.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	10	3	0.7x1.3x1.1	ashlands	0.0	0	0	12	Madzobuild	10 pieces, 3 prefabs, 0.7x1.3x1.1 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_madzobuild_couch2.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	14	4	2.0x1.4x2.0	ashlands	0.0	0	0	12	Madzobuild	14 pieces, 4 prefabs, 2.0x1.4x2.0 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_madzobuild_couch3.blueprint	OverDrive/BiomeBlueprints	none stated	no	flavour	module	PLACES_CLEAN	30	4	2.6x3.9x2.0	ashlands	0.0	0	0	12	Madzobuild	30 pieces, 4 prefabs, 2.6x3.9x2.0 m, 0 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_magne_athelgard_cathedral.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	17954	96	61.7x89.9x35.1	ashlands	0.0	0	1	250	Magne	17954 pieces, 96 prefabs, 61.7x89.9x35.1 m, 1 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_mansion_vanilla.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	setpiece	PLACES_CLEAN	6556	68	57.3x35.7x21.2	ashlands	0.0	0	3	115	Thysicus	6556 pieces, 68 prefabs, 57.3x35.7x21.2 m, 3 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_meathousevanilla_brigames.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	module	PLACES_CLEAN	265	20	10.1x12.1x9.0	ashlands	0.0	0	19	28	Bri Games	265 pieces, 20 prefabs, 10.1x12.1x9.0 m, 19 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_mini_sap_extractor.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	module	PLACES_CLEAN	47	8	5.0x4.2x1.0	ashlands	0.0	0	3	16	Monkey	47 pieces, 8 prefabs, 5.0x4.2x1.0 m, 3 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_minicastlevanilla.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	setpiece	PLACES_CLEAN	980	70	13.0x13.1x15.5	ashlands	0.0	0	11	32	Bri Games	980 pieces, 70 prefabs, 13.0x13.1x15.5 m, 11 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_minicastleworkshop.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	setpiece	PLACES_CLEAN	601	71	17.6x18.1x8.5	ashlands	0.0	0	20	40	Bhima	601 pieces, 71 prefabs, 17.6x18.1x8.5 m, 20 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_mister_black_forest_base.blueprint	OverDrive/BiomeBlueprints	none stated	no	production	setpiece	PLACES_CLEAN	987	70	17.7x25.2x8.0	ashlands	0.0	0	7	46	Mister	987 pieces, 70 prefabs, 17.7x25.2x8.0 m, 7 stations, 0 beds, 0 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_mistrock_peak.blueprint	OverDrive/BiomeBlueprints	none stated	no	portal	setpiece	PLACES_CLEAN	3617	124	54.5x45.4x104.0	ashlands	0.0	4	45	139	Monkey	3617 pieces, 124 prefabs, 54.5x45.4x104.0 m, 45 stations, 0 beds, 4 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
hs_ashlands_misttreehousev2.blueprint	OverDrive/BiomeBlueprints	none stated	no	base	setpiece	PLACES_CLEAN	2371	132	53.4x39.8x102.9	ashlands	0.0	2	31	118	Sheepshank	2371 pieces, 132 prefabs, 53.4x39.8x102.9 m, 31 stations, 3 beds, 2 portals	source biome tag: ashlands; material tier: ashlands. DERIVED from the measurements in `role` -- not a curated judgement
