name	flat_pad_verdict	setting	intended_setting	floating_fraction	air_isolation_max_m	mean_air_m	max_air_m	relief_m	footprint_span_m	footprint_area_m2	pieces	stations	portals	beds	missing_pieces	verdict	category	kind	metadata	licence	origin
hs_ashlands_sheepshank_starterhome10.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	48.998	40.5	1208.0	2762	41	2	3	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_the_architect_twinravensbooks_curios_v2.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	49.554	23.7	524.0	2723	6	0	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
PuP_Capitol.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	8.2	49.2	1168.0	2304	0	0	0	0	PLACES_CLEAN	base	setpiece	curated	none stated	fleet corpus
hs_ashlands_gorthein_fancy_house_redux.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	3.967	36.4	1072.0	1962	33	2	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_deardly_deardly_modern_house.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.0	34.3	908.0	1672	36	0	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
god-o.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	9.0	8.1	108.0	194	0	0	0	0	PLACES_CLEAN	defence	module	curated	none stated	fleet corpus
MistlandRaiderTown1.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	25.707	79.8	4672.0	570	8	0	4	0	PLACES_CLEAN	defence	setpiece	curated	none stated	RustyMods/VikingNPC
terrain-blueprint-contract.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	6.0	32.0	2	0	0	0	0	PLACES_CLEAN	fixture	module	curated	Unlicense (public domain)	JereKuusela/valheim-infinity_hammer
terrain-rotated-center.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	5.0	16.0	2	0	0	0	0	PLACES_CLEAN	fixture	module	curated	Unlicense (public domain)	JereKuusela/valheim-infinity_hammer
terrain-future-section.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	2.0	16.0	1	0	0	0	0	PLACES_CLEAN	fixture	module	curated	Unlicense (public domain)	JereKuusela/valheim-infinity_hammer
hs_ashlands_sheepshank_statuevalhallav2.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	2.865	21.0	340.0	546	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_giantchristmastreeonly.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.4	7.9	72.0	442	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_wissman_godwayshrine.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	12.0	180.0	394	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
boom-christianruins1.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.836	25.5	452.0	359	0	0	0	1	PLACES_WITH_GAPS	flavour	module	curated	none stated	Oosquai/SavheimIV
hs_mistlands_aodi_skardvakt_the_black_tower.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	8.0	11.5	144.0	358	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_chessboard.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.755	20.0	456.0	337	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_plains_abzul_storage.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	50.051	12.6	168.0	294	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_plains_halvar_cluckingham_palace.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	12.0	128.0	273	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_blackforest_brigames_snowflake.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	3.8	12.2	176.0	239	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_meadows_mad_madstarterhouse.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.8	14.7	188.0	217	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_santasleigh.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.399	9.7	80.0	214	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_meadows_artio_pergola_crossroad.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.732	8.3	88.0	200	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_tallbookcase_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	5.6	32.0	197	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_mistlands_wizards_tower_rings.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.0	31.5	600.0	160	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_bakedgoodsstall.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	49.188	7.7	76.0	159	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
Rocket Raccoon_Barracas_Media.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	3.967	11.0	148.0	134	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	mcarvall/Midgard-Valheim-Server
ruins_0_2.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	2.291	12.7	144.0	132	0	0	0	0	PLACES_CLEAN	flavour	module	curated	none stated	Oosquai/SavheimIV
sample_002.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	2.213	16.4	216.0	132	0	0	0	0	PLACES_CLEAN	flavour	module	derived	GPL-3.0	sighsorry1029/Homestead
hs_blackforest_kitchenstorage_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.093	3.1	16.0	123	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
RuinedTower.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.0	11.2	128.0	122	0	0	1	0	PLACES_CLEAN	flavour	module	curated	none stated	RustyMods/VikingNPC
outposttower_ruins.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	12.2	156.0	115	0	0	0	0	PLACES_CLEAN	flavour	module	curated	AGPL-3.0	RickardAndreasAgren/ValheimBlueprintCruncher
outposttower_burnt.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.0	13.1	200.0	114	0	0	0	0	PLACES_CLEAN	flavour	module	curated	AGPL-3.0	RickardAndreasAgren/ValheimBlueprintCruncher
hs_swamp_bridge1_stone.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	3.0	16.0	208.0	114	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_lacko_pianodecoration_madebylacko.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.086	5.3	40.0	94	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_blackforest_kitchenstorage2_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.067	3.0	16.0	93	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_meadows_customspiralstairs_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.049	5.9	56.0	84	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_cornercouchashlands_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.178	6.2	64.0	82	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_gazebograusten_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	7.1	64.0	82	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_blackforest_cornercouchdecorative_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.233	6.0	56.0	78	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
outposttower_remnant.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	12.0	136.0	73	0	0	0	0	PLACES_CLEAN	flavour	module	curated	AGPL-3.0	RickardAndreasAgren/ValheimBlueprintCruncher
hs_blackforest_chessboard.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	2.2	16.0	64	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
sample_001.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	2.18	14.4	128.0	63	0	0	0	0	PLACES_CLEAN	flavour	module	derived	GPL-3.0	sighsorry1029/Homestead
SettlerRuins_Ashlands1.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.426	23.8	324.0	59	0	0	0	0	PLACES_CLEAN	flavour	module	curated	none stated	RustyMods/VikingNPC
hs_ashlands_madzobuild_couch3.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.006	4.8	36.0	30	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_armchair_sidetable_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	3.2	16.0	23	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_daybed_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.442	4.2	28.0	19	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_madzobuild_couch2.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.008	2.9	16.0	14	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sidetable_book_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	1.5	16.0	13	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_armchair_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	1.6	16.0	10	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_madzobuild_couch1.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	1.7	8.0	10	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_blackforest_madzobuild_woodcouch1.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	1.9	8.0	10	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sidetable_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	1.4	16.0	6	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_barstool_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	1.4	16.0	4	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_madzobuild_coffeetable.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	2.2	16.0	4	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
sample_snap.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	4.0	12.0	4	0	0	0	0	PLACES_CLEAN	flavour	module	derived	GPL-3.0	sighsorry1029/Homestead
sh_firtree_light_black.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	9.0	144.0	2	0	0	0	1	UNUSABLE	flavour	module	curated	none stated	Oosquai/SavheimIV
sh_firtree_light_blue.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	9.0	144.0	2	0	0	0	1	UNUSABLE	flavour	module	curated	none stated	Oosquai/SavheimIV
sh_firtree_light_green.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	9.0	144.0	2	0	0	0	1	UNUSABLE	flavour	module	curated	none stated	Oosquai/SavheimIV
sh_firtree_light_orange.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	9.0	144.0	2	0	0	0	1	UNUSABLE	flavour	module	curated	none stated	Oosquai/SavheimIV
sh_firtree_light_purple.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	9.0	144.0	2	0	0	0	1	UNUSABLE	flavour	module	curated	none stated	Oosquai/SavheimIV
sh_firtree_light_red.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	9.0	144.0	2	0	0	0	1	UNUSABLE	flavour	module	curated	none stated	Oosquai/SavheimIV
sh_firtree_light_yellow.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	9.0	144.0	2	0	0	0	1	UNUSABLE	flavour	module	curated	none stated	Oosquai/SavheimIV
brokkr-the-cathedral__3060609d536b.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	49.252	131.4	14480.0	8269	0	0	0	0	PLACES_CLEAN	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
magic-tower.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.081	18.0	400.0	5895	0	0	0	0	PLACES_CLEAN	flavour	setpiece	curated	none stated	fleet corpus
hs_ashlands_admin_veseljko_one_way_maze.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	3.95	61.0	3596.0	4554	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_harbor.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	7.753	78.1	3992.0	4381	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
brokkr-the-sacrifice.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	22.171	117.6	11768.0	3081	11	0	0	0	PLACES_CLEAN	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
hs_ashlands_lotusandlily.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.25	41.7	1536.0	2390	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_the_architect_leifcotraders.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.5	24.7	676.0	2046	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_lacko_almightyhammer.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.827	46.1	1212.0	1794	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_belltower.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.5	12.4	152.0	1381	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_the_architect_aesirtemple.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.0	35.3	952.0	1165	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_meadows_admin_veseljko_drakepeak_ruins_v2.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.094	34.6	1088.0	1025	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_the_architect_dvergrbrothersbank_v2.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.0	23.3	584.0	868	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
altar.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.645	22.5	528.0	527	0	0	0	0	PLACES_CLEAN	flavour	setpiece	curated	none stated	fleet corpus
MeadowSettlerTown1.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	4.314	67.5	2628.0	436	0	0	7	0	PLACES_CLEAN	flavour	setpiece	curated	none stated	RustyMods/VikingNPC
aodi-skardvakt-the-black-tower.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	8.0	11.5	144.0	358	0	0	0	0	PLACES_CLEAN	outpost	module	curated	none stated	fleet corpus
outposttower.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	12.4	160.0	212	0	0	0	0	PLACES_CLEAN	outpost	module	curated	AGPL-3.0	RickardAndreasAgren/ValheimBlueprintCruncher
wagon-camp.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	49.566	15.7	204.0	160	7	0	1	0	PLACES_CLEAN	outpost	module	curated	none stated	fleet corpus
PiNoKi_SmallHut.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.213	12.1	120.0	48	0	0	0	0	PLACES_CLEAN	outpost	module	curated	MIT	constXife/bygd
Portal13.vbuild	grounds	land_flat	land	0.0	0.0	0.0	0.0	3.164	7.6	52.0	133	0	0	0	0	PLACES_CLEAN	portal	module	curated	none stated	fleet corpus
Portal11.vbuild	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.283	4.6	40.0	111	0	0	0	0	PLACES_CLEAN	portal	module	curated	none stated	fleet corpus
Portal15.vbuild	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.121	5.5	48.0	107	0	0	0	0	PLACES_CLEAN	portal	module	curated	none stated	fleet corpus
hs_ashlands_arkitek_grausten_tri_portal.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.0	13.0	128.0	75	0	3	0	0	PLACES_CLEAN	portal	module	derived	none stated	OverDrive/BiomeBlueprints
Portal12.vbuild	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.2	5.0	32.0	66	0	0	0	0	PLACES_CLEAN	portal	module	curated	none stated	fleet corpus
hs_ashlands_thrad_portal_nexus.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.936	44.2	1580.0	4744	3	17	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
you-died-ocean-base.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	7.294	96.6	9084.0	3400	35	14	2	0	PLACES_CLEAN	portal	setpiece	curated	none stated	fleet corpus
hs_ashlands_sheepshank_fluffydanatownhomes.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.614	33.1	752.0	2936	51	3	2	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_portalhub_dome.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.261	22.6	488.0	909	0	14	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
nurr-portalpyramid02.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.551	33.9	748.0	796	0	8	0	0	PLACES_CLEAN	portal	setpiece	curated	none stated	offsetkeyz/valheim_mod_sync
hs_plains_admin_veseljko_storage_hub_v1.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.0	18.3	320.0	691	0	7	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_mistlands_thrad_workshop.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.335	19.1	248.0	493	9	0	0	0	PLACES_CLEAN	production	module	derived	none stated	OverDrive/BiomeBlueprints
hs_swamp_babe_estacao_de_trabalho.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.0	20.0	276.0	384	11	0	0	0	PLACES_CLEAN	production	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_meathousevanilla_brigames.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.0	13.7	164.0	265	19	0	0	0	PLACES_CLEAN	production	module	derived	none stated	OverDrive/BiomeBlueprints
hs_meadows_the_neck_nook.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	2.078	11.6	152.0	183	5	0	0	0	PLACES_CLEAN	production	module	derived	none stated	OverDrive/BiomeBlueprints
hs_meadows_hive_tower.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.0	5.6	48.0	75	7	0	0	0	PLACES_CLEAN	production	module	derived	none stated	OverDrive/BiomeBlueprints
hs_blackforest_aodi_quickrest_1_0a.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.097	4.7	60.0	69	3	0	0	0	PLACES_CLEAN	production	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_mini_sap_extractor.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	0.058	7.8	64.0	47	3	0	0	0	PLACES_CLEAN	production	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_ragnar_openwarehouse.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	1.888	55.4	3196.0	8599	35	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_the_architect_grand_loki_theater.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	49.084	42.6	1124.0	4345	3	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_sanctifiedtower.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	50.134	10.8	144.0	1059	7	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_minicastleworkshop.blueprint	grounds	land_flat	land	0.0	0.0	0.0	0.0	49.175	20.5	416.0	601	20	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
arty-magetower.blueprint	grounds	land_flat	land	0.003	2.0	4.0	4.0	10.288	47.3	1236.0	4948	1	2	0	18	PLACES_WITH_GAPS	flavour	setpiece	curated	none stated	fleet corpus
citadel.blueprint	grounds	land_flat	land	0.004	2.0	1.279	1.768	36.899	165.5	19560.0	33655	0	0	0	0	PLACES_CLEAN	base	setpiece	curated	none stated	fleet corpus
hs_ashlands_feuersbrunst_henk.blueprint	grounds	land_flat	land	0.005	2.0	4.962	4.962	6.462	44.3	1492.0	1221	0	4	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
salty-dick-portal-hub-final.blueprint	grounds	land_flat	land	0.005	2.0	4.497	4.497	6.047	29.1	816.0	1043	0	8	0	0	PLACES_CLEAN	portal	setpiece	curated	none stated	offsetkeyz/valheim_mod_sync
hs_ashlands_neletit_parthenon.blueprint	grounds	land_flat	land	0.006	2.0	16.307	16.307	17.307	52.1	1452.0	9580	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
brokkr-the-execution.blueprint	grounds	land_flat	land	0.006	2.0	12.802	21.913	56.349	74.8	3392.0	3873	5	0	0	0	PLACES_CLEAN	flavour	setpiece	curated	none stated	Oosquai/SavheimIV
fox-0123456.blueprint	grounds	land_flat	land	0.007	2.0	6.7	6.7	8.065	48.3	1088.0	1229	24	4	1	0	PLACES_CLEAN	base	setpiece	curated	none stated	fleet corpus
hs_mistlands_black_marble_pillars_parts.blueprint	grounds	land_flat	land	0.007	2.0	3.008	3.008	4.412	26.0	560.0	264	0	0	0	0	PLACES_CLEAN	flavour	module	derived	none stated	OverDrive/BiomeBlueprints
hs_meadows_admin_veseljko_ancient_ruined_city_v3.blueprint	grounds	land_flat	land	0.007	2.0	1.539	2.502	4.158	96.7	4304.0	1139	0	0	0	0	PLACES_CLEAN	flavour	setpiece	derived	none stated	OverDrive/BiomeBlueprints
Ultimate_OutPost.blueprint	grounds	land_flat	land	0.007	2.0	0.5	0.5	4.977	53.5	1792.0	1820	54	2	2	0	PLACES_CLEAN	outpost	setpiece	curated	none stated	fleet corpus
hs_ashlands_ragnar_warehouse.blueprint	grounds	land_flat	land	0.007	2.0	5.968	6.0	7.888	69.8	3260.0	7939	35	1	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
brokkr-the-flabellum.blueprint	grounds	land_flat	land	0.008	2.83	18.841	34.924	76.24	103.7	7172.0	5490	13	0	0	0	PLACES_CLEAN	base	setpiece	curated	none stated	Oosquai/SavheimIV
PuP_mag-tower.blueprint	grounds	land_flat	land	0.009	2.0	6.187	6.187	8.187	25.0	448.0	2461	0	0	0	0	PLACES_CLEAN	flavour	setpiece	curated	none stated	fleet corpus
hs_ashlands_builder_babe_portal_hub.blueprint	grounds	land_flat	land	0.009	2.0	4.865	4.865	5.865	32.5	920.0	905	0	11	0	0	PLACES_CLEAN	portal	setpiece	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_the_forge_2.blueprint	grounds	land_flat	land	0.009	2.0	1.0	1.0	2.0	24.1	448.0	462	18	0	0	0	PLACES_CLEAN	production	module	derived	none stated	OverDrive/BiomeBlueprints
small_long_house.blueprint	grounds	land_flat	land	0.01	2.0	5.421	6.2	7.945	51.3	1164.0	1444	5	0	4	0	PLACES_CLEAN	base	setpiece	curated	none stated	fleet corpus
hs_ashlands_the_architect_runestonetownhomestriplex.blueprint	grounds	land_flat	land	0.01	2.0	2.3	2.3	49.113	29.6	816.0	4986	30	0	0	0	PLACES_CLEAN	production	setpiece	derived	none stated	OverDrive/BiomeBlueprints
BlackForestRaiderTown1.blueprint	grounds	land_flat	land	0.011	2.0	1.197	4.427	6.244	84.8	4744.0	1090	5	0	4	0	PLACES_CLEAN	defence	setpiece	curated	none stated	RustyMods/VikingNPC
MeadowSettlerTown2.blueprint	grounds	land_flat	land	0.011	2.0	1.69	1.69	4.002	31.9	748.0	1005	0	0	3	0	PLACES_CLEAN	flavour	setpiece	curated	none stated	RustyMods/VikingNPC
Hong_Marble_Telepyramid_(Shielded).blueprint	grounds	land_flat	land	0.011	2.0	3.903	3.903	4.194	22.6	372.0	398	1	0	0	0	PLACES_CLEAN	portal	module	curated	none stated	offsetkeyz/valheim_mod_sync
Hong_Marble_Telepyramid.blueprint	grounds	land_flat	land	0.011	2.0	3.903	3.903	4.194	22.6	372.0	396	1	0	0	0	PLACES_CLEAN	portal	module	curated	none stated	offsetkeyz/valheim_mod_sync
hs_swamp_xxx_blackforest_house.blueprint	grounds	land_flat	land	0.012	2.0	1.635	1.635	51.16	18.5	332.0	544	21	0	1	0	PLACES_CLEAN	base	module	derived	none stated	OverDrive/BiomeBlueprints
hs_ashlands_ulf_the_builder_pyramid_base_final.blueprint	grounds	land_flat	land	0.012	2.83	5.143	5.25	8.399	62.2	2264.0	6188	53	1	1	0	PLACES_CLEAN	base	setpiece	derived	none stated	OverDrive/BiomeBlueprints
swamptown1.blueprint	grounds	land_flat	land	0.012	2.0	2.485	4.167	18.583	73.4	3360.0	733	1	0	4	0	PLACES_CLEAN	defence	setpiece	curated	none stated	RustyMods/VikingNPC
